id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1162035094024085506,1162012423647354880,1565885730000,2019-08-15,18:15:30,CEST,820763705851998208,grzela60,Grzela. #SilniRazem #KonsTytucJa Jędrek,,"Gorszy sort oczekuje, że prosto z parady odmalowane pojazdy wyruszą na front walki o zdrowie rodaków i zajmą się transportem #listabrakującychleków",['premierrp'],[],[],0,0,3,['#listabrakującychleków'],[],https://twitter.com/grzela60/status/1162035094024085506,False,,0,,,,,,,"[{'user_id': '820763705851998208', 'username': 'grzela60'}, {'user_id': '57626153', 'username': 'PremierRP'}]",
1161901112812814336,1161679237071429632,1565853787000,2019-08-15,09:23:07,CEST,708636648708378624,babcia48,Babcia48,,"Szacunek dla Pana Brejzy, życzę POWODZENIA✌#RabunekZaPrad
#listabrakujacychlekow","['obserwatorxy', 'krzysztofbrejza']",[],[],0,1,7,"['#rabunekzaprad', '#listabrakujacychlekow']",[],https://twitter.com/babcia48/status/1161901112812814336,False,,0,,,,,,,"[{'user_id': '708636648708378624', 'username': 'babcia48'}, {'user_id': '892004596922671105', 'username': 'ObserwatorXY'}, {'user_id': '87795577', 'username': 'KrzysztofBrejza'}]",
1161679237071429632,1161679237071429632,1565800887000,2019-08-14,18:41:27,CEST,892004596922671105,obserwatorxy,Aneta ObserwatorXY,,"K. Brejza do S. Kalety: ""Więcej pokory. Uczestniczymy w tysiącach spotkań z Polakami, pytają o loty marszałka, mówią o ogromnych wzrostach cen, brakujących lekach. My w tych sprawach słuchamy i reagujemy, np. akcją #RabunekZaPrad czy #ListaBrakującychLeków"".
#TakJest pic.twitter.com/0ZMHqi4FhL",[],[],['https://pbs.twimg.com/media/EB8dGwfX4AA1Kyq.jpg'],13,76,339,"['#rabunekzaprad', '#listabrakującychleków', '#takjest']",[],https://twitter.com/ObserwatorXY/status/1161679237071429632,False,,0,,,,,,,"[{'user_id': '892004596922671105', 'username': 'ObserwatorXY'}]",
1161628310100684802,1161628310100684802,1565788745000,2019-08-14,15:19:05,CEST,2774416530,martinswidersky,Martyn Swydersky,,"W punkt!! #AferyPiS #AferaDworczyka #AferaPodkarpacka #KuchcińskiTravel
#AferaCBA
#AferaNBP
#AferaKNF
#AferaSKOK
#DojnaZmiana #AferaKaczynskiego #TaśmyKaczyńskiego #UkładKaczynskiego #UkładRadomski #Srebrna #AferaSrebrna #AferaSolvere #KopertaSawicza #listabrakujacychlekow  https://twitter.com/MGongolewicz/status/1161590305919053825 …",[],['https://twitter.com/MGongolewicz/status/1161590305919053825'],[],0,5,6,"['#aferypis', '#aferadworczyka', '#aferapodkarpacka', '#kuchcińskitravel', '#aferacba', '#aferanbp', '#aferaknf', '#aferaskok', '#dojnazmiana', '#aferakaczynskiego', '#taśmykaczyńskiego', '#układkaczynskiego', '#układradomski', '#srebrna', '#aferasrebrna', '#aferasolvere', '#kopertasawicza', '#listabrakujacychlekow']",[],https://twitter.com/MartinSwidersky/status/1161628310100684802,False,https://twitter.com/MGongolewicz/status/1161590305919053825,0,,,,,,,"[{'user_id': '2774416530', 'username': 'MartinSwidersky'}]",
1160880049668706310,1160880049668706310,1565610346000,2019-08-12,13:45:46,CEST,2549508198,t_stanislawski,FanTomas Szary,,Czarek nie pij i nie kłam #listabrakującychleków  https://twitter.com/tvp_info/status/1160843235167735808 …,[],['https://twitter.com/tvp_info/status/1160843235167735808'],[],18,7,60,['#listabrakującychleków'],[],https://twitter.com/T_Stanislawski/status/1160880049668706310,False,https://twitter.com/tvp_info/status/1160843235167735808,0,,,,,,,"[{'user_id': '2549508198', 'username': 'T_Stanislawski'}]",
1160181914172579842,1160166573514117121,1565443898000,2019-08-10,15:31:38,CEST,820763705851998208,grzela60,Grzela. #SilniRazem #KonsTytucJa Jędrek,,"Zbędne dla ""dobrej zmiany"" szpitale są zamykane. Ten został wskazany przez infolinię od #ListaBrakującychLeków.","['marianapiorkows', 'ricenola1']",[],[],1,0,1,['#listabrakującychleków'],[],https://twitter.com/grzela60/status/1160181914172579842,False,,0,,,,,,,"[{'user_id': '820763705851998208', 'username': 'grzela60'}, {'user_id': '501057882', 'username': 'marianapiorkows'}, {'user_id': '934453662943989761', 'username': 'ricenola1'}]",
1160118884592168960,1160118884592168960,1565428870000,2019-08-10,11:21:10,CEST,2549508198,t_stanislawski,FanTomas Szary,,"Wielkie osiągnięcia: #AferaKNF, #AferaSKOK #KuchcinskiTravel #AferaPCK #KopertaKaczyńskiego #Srebrna #aferaradomska
#aferawołomińska
#aferaGetBack
#MierzejaWiślana
#stadninawJanowie
#listahańbyKRS
#listabrakujacychlekow #KlamstaMorawieckiego https://twitter.com/tvp_info/status/1158006053000400896 …",[],['https://twitter.com/tvp_info/status/1158006053000400896'],[],6,32,52,"['#aferaknf', '#aferaskok', '#kuchcinskitravel', '#aferapck', '#kopertakaczyńskiego', '#srebrna', '#aferaradomska', '#aferawołomińska', '#aferagetback', '#mierzejawiślana', '#stadninawjanowie', '#listahańbykrs', '#listabrakujacychlekow', '#klamstamorawieckiego']",[],https://twitter.com/T_Stanislawski/status/1160118884592168960,False,https://twitter.com/tvp_info/status/1158006053000400896,0,,,,,,,"[{'user_id': '2549508198', 'username': 'T_Stanislawski'}]",
1160071745501573121,1160071745501573121,1565417631000,2019-08-10,08:13:51,CEST,2887099821,irenagos,reina #SilniRazem🇵🇱#CSB 🇪🇺,,"Siema @pisorgpl!
A co tam towarzysze słychać w sprawie waszych afer:
#SREBRNA
#KNF
#PZU
#PCK
#NBP
#PKS
#aferaradomska
#aferawołomińska
#aferaGetBack
#MierzejaWiślana
#stadninawJanowie
#listanoeKRS
#listabrakujacychlekow
#wypadekSzydło
#fundacjaZiobry
#gruntyMorawieckiego",['pisorgpl'],[],[],25,239,478,"['#srebrna', '#knf', '#pzu', '#pck', '#nbp', '#pks', '#aferaradomska', '#aferawołomińska', '#aferagetback', '#mierzejawiślana', '#stadninawjanowie', '#listanoekrs', '#listabrakujacychlekow', '#wypadekszydło', '#fundacjaziobry', '#gruntymorawieckiego']",[],https://twitter.com/irenagos/status/1160071745501573121,False,,0,,,,,,,"[{'user_id': '2887099821', 'username': 'irenagos'}, {'user_id': '15877628', 'username': 'pisorgpl'}]",
1160048107897446400,1159893953904332800,1565411996000,2019-08-10,06:39:56,CEST,940221203066904576,magdakodds,Małgorzata Lech-Krawczyk,,O taśmy odświeżacie? Coś nowego z piwniczki Pereiry będzie? Jakieś Beaujolais nouveau prosto z celi Falenty? Jakieś procesy spektakularne ? Złapaliście tę mafie czy cały czas gonicie króliczka? Jak mafia lekowa? #listabrakującychleków #SilniRazem #IdziemyNaWybory #NiechLecą,['wiadomoscitvp'],[],[],0,1,9,"['#listabrakującychleków', '#silnirazem', '#idziemynawybory', '#niechlecą']",[],https://twitter.com/magdakodds/status/1160048107897446400,False,,0,,,,,,,"[{'user_id': '940221203066904576', 'username': 'magdakodds'}, {'user_id': '831151718', 'username': 'WiadomosciTVP'}]",
1160034230564470784,1160034230564470784,1565408687000,2019-08-10,05:44:47,CEST,940221203066904576,magdakodds,Małgorzata Lech-Krawczyk,,"Ludzie błagają o pomoc w leczeniu  http://m.in  ciężko chorych dzieci.Przewodniczący Komisji Sprawiedliwości leci z żona,rzadowym samolotem z 500 ampułkami leku na „suche oko”?W Polsce trwa kryzys lekowy #listabrakującychleków Przesłanie wyborcze #NiechLecą #SilniRazem https://twitter.com/Bertold_K/status/1159877449372643329 …",[],"['http://m.in', 'https://twitter.com/Bertold_K/status/1159877449372643329']",[],1,10,14,"['#listabrakującychleków', '#niechlecą', '#silnirazem']",[],https://twitter.com/magdakodds/status/1160034230564470784,False,https://twitter.com/Bertold_K/status/1159877449372643329,0,,,,,,,"[{'user_id': '940221203066904576', 'username': 'magdakodds'}]",
1159677906408411136,1159677906408411136,1565323733000,2019-08-09,06:08:53,CEST,820763705851998208,grzela60,Grzela. #SilniRazem #KonsTytucJa Jędrek,,"Przepraszam @jbrudzinski i PIS za zniszczenie stadnin, brak inwestycji, wzrost inflacji, zwycięstwa w Brukseli, #UkładKaczyńskiego, #aferaKNF, #AferaNBP, #listabrakującychleków, #KuchcińskiTravel i pozostałe #aferaPIS
A czy ty rodaku przeprosiłeś PIS? http://wiadomosci.gazeta.pl/wiadomosci/7,114884,25071336,brudzinski-zwrocil-sie-do-po-nie-bedziemy-sie-przed-wami-kajac.html#s=BoxOpLink …",['jbrudzinski'],"['http://wiadomosci.gazeta.pl/wiadomosci/7,114884,25071336,brudzinski-zwrocil-sie-do-po-nie-bedziemy-sie-przed-wami-kajac.html#s=BoxOpLink']",[],5,6,14,"['#układkaczyńskiego', '#aferaknf', '#aferanbp', '#listabrakującychleków', '#kuchcińskitravel', '#aferapis']",[],https://twitter.com/grzela60/status/1159677906408411136,False,,0,,,,,,,"[{'user_id': '820763705851998208', 'username': 'grzela60'}, {'user_id': '114159548', 'username': 'jbrudzinski'}]",
1159562911620247553,1159562911620247553,1565296316000,2019-08-08,22:31:56,CEST,2887099821,irenagos,reina #SilniRazem🇵🇱#CSB 🇪🇺,,"Drogi suwerenie,dymisja #Kuchciński,to jedno ale uprzejmie przypominam,że są jeszcze inne sprawy z cyklu #aferyPiS, które są równie ważne,o ile nie ważniejsze:
#listaneoKRS
#listabrakujacychlekow
#gruntyMorawieckiego
#Falenta
#aferaNBP
#aferaKNF
#Srebrna
#SKOKI
#fundacjaZiobry",[],[],[],0,25,56,"['#kuchciński', '#aferypis', '#listaneokrs', '#listabrakujacychlekow', '#gruntymorawieckiego', '#falenta', '#aferanbp', '#aferaknf', '#srebrna', '#skoki', '#fundacjaziobry']",[],https://twitter.com/irenagos/status/1159562911620247553,False,,0,,,,,,,"[{'user_id': '2887099821', 'username': 'irenagos'}]",
1159518781477150720,1159518781477150720,1565285794000,2019-08-08,19:36:34,CEST,940221203066904576,magdakodds,Małgorzata Lech-Krawczyk,,"Trwa kryzys lekowy. #listabrakującychleków Prokurator Piotrowicz przewozi kilkaset, kilka tysięcy? fiołek w lodzie, rządowym samolotem. W tym czasie likwidowane są oddziały onkologii dziecięcej. Internet pęka od próśb o pomoc w leczeniu. #SilniRazem https://www.fakt.pl/wydarzenia/polityka/lekarz-demaskuje-piotrowicza-takich-lekow-nie-podaje-sie-w-domu/x5gmltd …",[],['https://www.fakt.pl/wydarzenia/polityka/lekarz-demaskuje-piotrowicza-takich-lekow-nie-podaje-sie-w-domu/x5gmltd'],[],0,2,6,"['#listabrakującychleków', '#silnirazem']",[],https://twitter.com/magdakodds/status/1159518781477150720,False,,0,,,,,,,"[{'user_id': '940221203066904576', 'username': 'magdakodds'}]",
